"DateTime";"Aanvoertemperatuur [Warmtapwater bwdl Geel] [°C]"
"2023-05-08 00:00:00";25,04
"2023-05-08 00:01:00";25,04
"2023-05-08 00:02:00";25,04
"2023-05-08 00:03:00";25,05
"2023-05-08 00:04:00";25,06
"2023-05-08 00:05:00";25,07
"2023-05-08 00:06:00";25,08
"2023-05-08 00:07:00";25,08
"2023-05-08 00:08:00";25,08
"2023-05-08 00:09:00";25,09
"2023-05-08 00:10:00";25,1
"2023-05-08 00:11:00";25,1
"2023-05-08 00:12:00";25,1
"2023-05-08 00:13:00";25,1
"2023-05-08 00:14:00";25,11
"2023-05-08 00:15:00";25,12
"2023-05-08 00:16:00";25,12
"2023-05-08 00:17:00";25,12
"2023-05-08 00:18:00";25,14
"2023-05-08 00:19:00";25,14
"2023-05-08 00:20:00";25,15
"2023-05-08 00:21:00";25,15
"2023-05-08 00:22:00";25,16
"2023-05-08 00:23:00";25,16
"2023-05-08 00:24:00";25,16
"2023-05-08 00:25:00";25,17
"2023-05-08 00:26:00";25,17
"2023-05-08 00:27:00";25,19
"2023-05-08 00:28:00";25,19
"2023-05-08 00:29:00";25,2
"2023-05-08 00:30:00";25,2
"2023-05-08 00:31:00";25,2
"2023-05-08 00:32:00";25,21
"2023-05-08 00:33:00";25,24
"2023-05-08 00:34:00";25,24
"2023-05-08 00:35:00";25,26
"2023-05-08 00:36:00";25,27
"2023-05-08 00:37:00";25,28
"2023-05-08 00:38:00";25,28
"2023-05-08 00:39:00";25,28
"2023-05-08 00:40:00";25,28
"2023-05-08 00:41:00";25,28
"2023-05-08 00:42:00";25,28
"2023-05-08 00:43:00";25,28
"2023-05-08 00:44:00";25,27
"2023-05-08 00:45:00";25,26
"2023-05-08 00:46:00";25,26
"2023-05-08 00:47:00";25,26
"2023-05-08 00:48:00";25,26
"2023-05-08 00:49:00";25,25
"2023-05-08 00:50:00";25,24
"2023-05-08 00:51:00";25,24
"2023-05-08 00:52:00";25,23
"2023-05-08 00:53:00";25,22
"2023-05-08 00:54:00";25,22
"2023-05-08 00:55:00";25,23
"2023-05-08 00:56:00";25,21
"2023-05-08 00:57:00";25,2
"2023-05-08 00:58:00";25,21
"2023-05-08 00:59:00";25,2
"2023-05-08 01:00:00";25,19
"2023-05-08 01:01:00";25,19
"2023-05-08 01:02:00";25,19
"2023-05-08 01:03:00";25,19
"2023-05-08 01:04:00";25,18
"2023-05-08 01:05:00";25,18
"2023-05-08 01:06:00";25,17
"2023-05-08 01:07:00";25,17
"2023-05-08 01:08:00";25,17
"2023-05-08 01:09:00";25,16
"2023-05-08 01:10:00";25,16
"2023-05-08 01:11:00";25,16
"2023-05-08 01:12:00";25,15
"2023-05-08 01:13:00";25,15
"2023-05-08 01:14:00";25,14
"2023-05-08 01:15:00";25,14
"2023-05-08 01:16:00";25,15
"2023-05-08 01:17:00";25,15
"2023-05-08 01:18:00";25,17
"2023-05-08 01:19:00";25,17
"2023-05-08 01:20:00";25,18
"2023-05-08 01:21:00";25,17
"2023-05-08 01:22:00";25,18
"2023-05-08 01:23:00";25,2
"2023-05-08 01:24:00";25,2
"2023-05-08 01:25:00";25,21
"2023-05-08 01:26:00";25,23
"2023-05-08 01:27:00";25,24
"2023-05-08 01:28:00";25,23
"2023-05-08 01:29:00";25,24
"2023-05-08 01:30:00";25,26
"2023-05-08 01:31:00";25,27
"2023-05-08 01:32:00";25,28
"2023-05-08 01:33:00";25,29
"2023-05-08 01:34:00";25,3
"2023-05-08 01:35:00";25,3
"2023-05-08 01:36:00";25,3
"2023-05-08 01:37:00";25,31
"2023-05-08 01:38:00";25,32
"2023-05-08 01:39:00";25,33
"2023-05-08 01:40:00";25,34
"2023-05-08 01:41:00";25,34
"2023-05-08 01:42:00";25,36
"2023-05-08 01:43:00";25,36
"2023-05-08 01:44:00";25,37
"2023-05-08 01:45:00";25,39
"2023-05-08 01:46:00";25,4
"2023-05-08 01:47:00";25,41
"2023-05-08 01:48:00";25,42
"2023-05-08 01:49:00";25,42
"2023-05-08 01:50:00";25,44
"2023-05-08 01:51:00";25,45
