"DateTime";"Aanvoertemperatuur [Warmtapwater bwdl Geel] [°C]"
"2023-03-27 00:00:00";33,69
"2023-03-27 00:01:00";33,68
"2023-03-27 00:02:00";33,68
"2023-03-27 00:03:00";33,66
"2023-03-27 00:04:00";33,66
"2023-03-27 00:05:00";33,64
"2023-03-27 00:06:00";33,64
"2023-03-27 00:07:00";33,62
"2023-03-27 00:08:00";33,62
"2023-03-27 00:09:00";33,61
"2023-03-27 00:10:00";33,6
"2023-03-27 00:11:00";33,59
"2023-03-27 00:12:00";33,58
"2023-03-27 00:13:00";33,58
"2023-03-27 00:14:00";33,56
"2023-03-27 00:15:00";33,55
"2023-03-27 00:16:00";33,55
"2023-03-27 00:17:00";33,54
"2023-03-27 00:18:00";33,53
"2023-03-27 00:19:00";33,52
"2023-03-27 00:20:00";33,51
"2023-03-27 00:21:00";33,51
"2023-03-27 00:22:00";33,48
"2023-03-27 00:23:00";33,48
"2023-03-27 00:24:00";33,46
"2023-03-27 00:25:00";33,44
"2023-03-27 00:26:00";33,44
"2023-03-27 00:27:00";33,42
"2023-03-27 00:28:00";33,4
"2023-03-27 00:29:00";33,4
"2023-03-27 00:30:00";33,4
"2023-03-27 00:31:00";33,39
"2023-03-27 00:32:00";33,38
"2023-03-27 00:33:00";33,38
"2023-03-27 00:34:00";33,38
"2023-03-27 00:35:00";33,38
"2023-03-27 00:36:00";33,37
"2023-03-27 00:37:00";33,36
"2023-03-27 00:38:00";33,35
"2023-03-27 00:39:00";33,34
"2023-03-27 00:40:00";33,33
"2023-03-27 00:41:00";33,33
"2023-03-27 00:42:00";33,33
"2023-03-27 00:43:00";33,32
"2023-03-27 00:44:00";33,33
"2023-03-27 00:45:00";33,33
"2023-03-27 00:46:00";33,34
"2023-03-27 00:47:00";33,34
"2023-03-27 00:48:00";33,34
"2023-03-27 00:49:00";33,34
"2023-03-27 00:50:00";33,34
"2023-03-27 00:51:00";33,35
"2023-03-27 00:52:00";33,35
"2023-03-27 00:53:00";33,35
"2023-03-27 00:54:00";33,35
"2023-03-27 00:55:00";33,36
"2023-03-27 00:56:00";33,36
"2023-03-27 00:57:00";33,37
"2023-03-27 00:58:00";33,37
"2023-03-27 00:59:00";33,37
"2023-03-27 01:00:00";33,37
"2023-03-27 01:01:00";33,39
"2023-03-27 01:02:00";33,4
"2023-03-27 01:03:00";33,4
"2023-03-27 01:04:00";33,4
"2023-03-27 01:05:00";33,4
"2023-03-27 01:06:00";33,41
"2023-03-27 01:07:00";33,43
"2023-03-27 01:08:00";33,43
"2023-03-27 01:09:00";33,43
"2023-03-27 01:10:00";33,44
"2023-03-27 01:11:00";33,46
"2023-03-27 01:12:00";33,46
"2023-03-27 01:13:00";33,47
"2023-03-27 01:14:00";33,48
"2023-03-27 01:15:00";33,49
"2023-03-27 01:16:00";33,49
"2023-03-27 01:17:00";33,49
"2023-03-27 01:18:00";33,49
"2023-03-27 01:19:00";33,52
"2023-03-27 01:20:00";33,54
"2023-03-27 01:21:00";33,55
"2023-03-27 01:22:00";33,55
"2023-03-27 01:23:00";33,56
"2023-03-27 01:24:00";33,57
"2023-03-27 01:25:00";33,57
"2023-03-27 01:26:00";33,58
"2023-03-27 01:27:00";33,58
"2023-03-27 01:28:00";33,6
"2023-03-27 01:29:00";33,61
"2023-03-27 01:30:00";33,62
"2023-03-27 01:31:00";33,62
"2023-03-27 01:32:00";33,64
"2023-03-27 01:33:00";33,66
"2023-03-27 01:34:00";33,67
"2023-03-27 01:35:00";33,68
"2023-03-27 01:36:00";33,68
"2023-03-27 01:37:00";33,69
"2023-03-27 01:38:00";33,69
"2023-03-27 01:39:00";33,7
"2023-03-27 01:40:00";33,7
"2023-03-27 01:41:00";33,7
"2023-03-27 01:42:00";33,72
"2023-03-27 01:43:00";33,72
"2023-03-27 01:44:00";33,72
"2023-03-27 01:45:00";33,72
"2023-03-27 01:46:00";33,72
"2023-03-27 01:47:00";33,72
"2023-03-27 01:48:00";33,71
"2023-03-27 01:49:00";33,71
"2023-03-27 01:50:00";33,7
"2023-03-27 01:51:00";33,69
"2023-03-27 01:52:00";33,68
"2023-03-27 01:53:00";33,68
"2023-03-27 01:54:00";33,68
"2023-03-27 01:55:00";33,65
"2023-03-27 01:56:00";33,64
"2023-03-27 01:57:00";33,63
"2023-03-27 01:58:00";33,62
"2023-03-27 01:59:00";33,61
"2023-03-27 02:00:00";33,61
"2023-03-27 02:01:00";33,59
"2023-03-27 02:02:00";33,57
"2023-03-27 02:03:00";33,57
"2023-03-27 02:04:00";33,56
"2023-03-27 02:05:00";33,55
"2023-03-27 02:06:00";33,53
"2023-03-27 02:07:00";33,52
"2023-03-27 02:08:00";33,5
"2023-03-27 02:09:00";33,49
"2023-03-27 02:10:00";33,47
"2023-03-27 02:11:00";33,47
"2023-03-27 02:12:00";33,47
"2023-03-27 02:13:00";33,45
"2023-03-27 02:14:00";33,43
"2023-03-27 02:15:00";33,42
"2023-03-27 02:16:00";33,42
"2023-03-27 02:17:00";33,4
"2023-03-27 02:18:00";33,38
"2023-03-27 02:19:00";33,36
"2023-03-27 02:20:00";33,36
"2023-03-27 02:21:00";33,36
"2023-03-27 02:22:00";33,33
"2023-03-27 02:23:00";33,32
"2023-03-27 02:24:00";33,31
"2023-03-27 02:25:00";33,31
"2023-03-27 02:26:00";33,31
"2023-03-27 02:27:00";33,31
"2023-03-27 02:28:00";33,3
"2023-03-27 02:29:00";33,3
"2023-03-27 02:30:00";33,3
"2023-03-27 02:31:00";33,29
"2023-03-27 02:32:00";33,3
"2023-03-27 02:33:00";33,28
"2023-03-27 02:34:00";33,23
"2023-03-27 02:35:00";33,17
"2023-03-27 02:36:00";33,11
"2023-03-27 02:37:00";33,04
"2023-03-27 02:38:00";32,97
"2023-03-27 02:39:00";32,97
"2023-03-27 02:40:00";32,82
"2023-03-27 02:41:00";32,75
"2023-03-27 02:42:00";32,67
"2023-03-27 02:43:00";32,61
"2023-03-27 02:44:00";32,61
"2023-03-27 02:45:00";32,53
"2023-03-27 02:46:00";32,46
"2023-03-27 02:47:00";32,39
"2023-03-27 02:48:00";32,39
"2023-03-27 02:49:00";32,34
"2023-03-27 02:50:00";32,26
"2023-03-27 02:51:00";32,22
"2023-03-27 02:52:00";32,19
"2023-03-27 02:53:00";32,16
"2023-03-27 02:54:00";32,13
"2023-03-27 02:55:00";32,1
"2023-03-27 02:56:00";32,1
"2023-03-27 02:57:00";32,08
"2023-03-27 02:58:00";32,05
"2023-03-27 02:59:00";32,01
"2023-03-27 03:00:00";32,01
"2023-03-27 03:01:00";31,99
"2023-03-27 03:02:00";31,96
"2023-03-27 03:03:00";31,93
"2023-03-27 03:04:00";31,9
"2023-03-27 03:05:00";31,9
"2023-03-27 03:06:00";31,88
"2023-03-27 03:07:00";31,86
"2023-03-27 03:08:00";31,8
"2023-03-27 03:09:00";31,76
"2023-03-27 03:10:00";31,74
"2023-03-27 03:11:00";31,71
"2023-03-27 03:12:00";31,69
"2023-03-27 03:13:00";31,65
"2023-03-27 03:14:00";31,65
"2023-03-27 03:15:00";31,62
"2023-03-27 03:16:00";31,59
"2023-03-27 03:17:00";31,57
"2023-03-27 03:18:00";31,54
"2023-03-27 03:19:00";31,51
"2023-03-27 03:20:00";31,48
"2023-03-27 03:21:00";31,45
"2023-03-27 03:22:00";31,43
"2023-03-27 03:23:00";31,43
"2023-03-27 03:24:00";31,39
"2023-03-27 03:25:00";31,36
"2023-03-27 03:26:00";31,31
"2023-03-27 03:27:00";31,29
"2023-03-27 03:28:00";31,27
"2023-03-27 03:29:00";31,25
"2023-03-27 03:30:00";31,23
"2023-03-27 03:31:00";31,21
"2023-03-27 03:32:00";31,21
"2023-03-27 03:33:00";31,19
"2023-03-27 03:34:00";31,19
"2023-03-27 03:35:00";31,15
"2023-03-27 03:36:00";31,13
"2023-03-27 03:37:00";31,1
"2023-03-27 03:38:00";31,08
"2023-03-27 03:39:00";31,06
"2023-03-27 03:40:00";31,04
"2023-03-27 03:41:00";31,04
"2023-03-27 03:42:00";31,03
"2023-03-27 03:43:00";31
"2023-03-27 03:44:00";30,98
"2023-03-27 03:45:00";30,95
"2023-03-27 03:46:00";30,94
"2023-03-27 03:47:00";30,91
"2023-03-27 03:48:00";30,91
