"DateTime";"Aanvoertemperatuur [Warmtapwater bwdl Geel] [°C]"
"2023-01-16 00:00:00";33,24
"2023-01-16 00:01:00";33,24
"2023-01-16 00:02:00";33,26
"2023-01-16 00:03:00";33,28
"2023-01-16 00:04:00";33,29
"2023-01-16 00:05:00";33,29
"2023-01-16 00:06:00";33,31
"2023-01-16 00:07:00";33,32
"2023-01-16 00:08:00";33,33
"2023-01-16 00:09:00";33,33
"2023-01-16 00:10:00";33,35
"2023-01-16 00:11:00";33,36
"2023-01-16 00:12:00";33,38
"2023-01-16 00:13:00";33,38
"2023-01-16 00:14:00";33,4
"2023-01-16 00:15:00";33,42
"2023-01-16 00:16:00";33,43
"2023-01-16 00:17:00";33,44
"2023-01-16 00:18:00";33,44
"2023-01-16 00:19:00";33,48
"2023-01-16 00:20:00";33,5
"2023-01-16 00:21:00";33,5
"2023-01-16 00:22:00";33,53
"2023-01-16 00:23:00";33,53
"2023-01-16 00:24:00";33,54
"2023-01-16 00:25:00";33,54
"2023-01-16 00:26:00";33,55
"2023-01-16 00:27:00";33,55
"2023-01-16 00:28:00";33,54
"2023-01-16 00:29:00";33,54
"2023-01-16 00:30:00";33,53
"2023-01-16 00:31:00";33,52
"2023-01-16 00:32:00";33,5
"2023-01-16 00:33:00";33,49
"2023-01-16 00:34:00";33,48
"2023-01-16 00:35:00";33,48
"2023-01-16 00:36:00";33,47
"2023-01-16 00:37:00";33,47
"2023-01-16 00:38:00";33,45
"2023-01-16 00:39:00";33,44
"2023-01-16 00:40:00";33,42
"2023-01-16 00:41:00";33,42
"2023-01-16 00:42:00";33,4
"2023-01-16 00:43:00";33,39
"2023-01-16 00:44:00";33,37
"2023-01-16 00:45:00";33,37
"2023-01-16 00:46:00";33,35
"2023-01-16 00:47:00";33,34
"2023-01-16 00:48:00";33,33
"2023-01-16 00:49:00";33,31
"2023-01-16 00:50:00";33,31
"2023-01-16 00:51:00";33,28
"2023-01-16 00:52:00";33,27
"2023-01-16 00:53:00";33,25
"2023-01-16 00:54:00";33,25
"2023-01-16 00:55:00";33,23
"2023-01-16 00:56:00";33,21
"2023-01-16 00:57:00";33,21
"2023-01-16 00:58:00";33,17
"2023-01-16 00:59:00";33,16
"2023-01-16 01:00:00";33,14
"2023-01-16 01:01:00";33,12
"2023-01-16 01:02:00";33,11
"2023-01-16 01:03:00";33,09
"2023-01-16 01:04:00";33,08
"2023-01-16 01:05:00";33,08
"2023-01-16 01:06:00";33,09
"2023-01-16 01:07:00";33,08
"2023-01-16 01:08:00";33,07
"2023-01-16 01:09:00";33,09
"2023-01-16 01:10:00";33,09
"2023-01-16 01:11:00";33,09
"2023-01-16 01:12:00";33,09
"2023-01-16 01:13:00";33,09
"2023-01-16 01:14:00";33,08
