"DateTime";"Temp.buffer Midden [Warmtapwater bwdl Geel] [°C]"
"2023-04-18 20:32:00";66,1
"2023-04-18 20:40:00";66
"2023-04-18 20:48:00";66
"2023-04-18 20:56:00";66
"2023-04-18 21:04:00";66
"2023-04-18 21:12:00";65,9
"2023-04-18 21:20:00";65,9
"2023-04-18 21:28:00";65,9
"2023-04-18 21:36:00";65,8
"2023-04-18 21:44:00";65,8
"2023-04-18 21:52:00";65,7
"2023-04-18 22:00:00";65,7
"2023-04-18 22:08:00";65,7
"2023-04-18 22:16:00";65,7
"2023-04-18 22:24:00";65,6
"2023-04-18 22:32:00";65,6
"2023-04-18 22:40:00";65,5
"2023-04-18 22:48:00";65,5
"2023-04-18 22:56:00";65,5
"2023-04-18 23:04:00";65,4
"2023-04-18 23:12:00";65,4
"2023-04-18 23:20:00";65,4
"2023-04-18 23:28:00";65,3
"2023-04-18 23:36:00";65,3
"2023-04-18 23:44:00";65,3
"2023-04-18 23:52:00";65,3
